id;name;country;wmo_id;elevation;lat;lon
10456;;Argentina;;;-35.0;-61.0
10415;PCIA.ROQUE SAENZ;Argentina;87149;92;-26.52;-60.27
17970;Pcia. Roque Saenz Peña Aero;Argentina;87148;93;-26.45;-60.24
10490;;Argentina;;;-38.0;-60.0
11006;Mercedes;Argentina;0;100;-34.68;-59.38
11022;Parana;Argentina;87373;110;-31.83;-60.52
11027;Oliveros;Argentina;0;26;-31.43;-60.93
11013;Balcarce;Argentina;0;130;-37.75;-58.3
11012;Zavalla;Argentina;0;50;-33.02;-60.88
11025;Rafaela;Argentina;0;100;-31.18;-61.55
10326;;Argentina;;;-22.0;-63.0
10339;;Argentina;;;-23.0;-64.0
10309;;Argentina;;;-29.0;-59.0
10478;DON TORCUATO AERO;Argentina;87568;4;-34.48;-58.62
10205;;Argentina;;;-37.0;-60.0
10031;;Argentina;;;-29.0;-67.0
10081;;Argentina;;;-29.0;-61.0
10487;;Argentina;;;-27.0;-58.0
10221;;Argentina;;;-38.0;-62.0
10087;;Argentina;;;-30.0;-57.0
10451;SAUCE VIEJO AERO;Argentina;87371;18;-31.42;-60.49
10556;OBERA II;Argentina;87187;303;-27.29;-55.08
10111;;Argentina;;;-31.0;-63.0
10143;;Argentina;;;-33.0;-69.0
10166;;Argentina;;;-34.0;-58.0
17363;SAN FRANCISCO (CBA);Argentina;0;115;-31.22;-62.07
10145;;Argentina;;;-33.0;-60.0
10416;LAS BREÑAS INTA;Argentina;87144;102;-27.05;-61.07
10131;;Argentina;;;-32.0;-68.0
10564;EL TREBOL;Argentina;87470;96;-32.12;-61.4
10551;VENADO TUERTO;Argentina;87468;112;-33.4;-61.58
10159;;Argentina;;;-34.0;-58.0
10475;SALTA INTA (CERRILLOS);Argentina;87045;1250;-24.54;-65.29
10132;;Argentina;;;-32.0;-68.0
10082;;Argentina;;;-29.0;-63.0
10117;;Argentina;;;-31.0;-65.0
10012;;Argentina;;;-24.0;-65.0
10362;;Argentina;;;-27.0;-55.0
10325;;Argentina;;;-34.0;-68.0
10188;;Argentina;;;-36.0;-65.0
10370;;Argentina;;;-33.0;-68.0
10044;CATAMARCA AERO II;Argentina;87222;454;-28.36;-65.46
10335;;Argentina;;;-33.0;-65.0
10062;;Argentina;;;-27.0;-64.0
10186;LAS FLORES AERO;Argentina;87563;36;-36.02;-59.08
10311;;Argentina;;;-37.0;-59.0
10531;OLAVARRIA AERO;Argentina;87643;166;-36.53;-60.13
10077;;Argentina;;;-29.0;-66.0
10011;;Argentina;;;-24.0;-60.0
10346;PASO DE LOS LIBRES AERO;Argentina;87293;70;-29.41;-57.09
10133;;Argentina;;;-32.0;-60.0
10013;VILLA GESELL AERO;Argentina;87663;9;-37.14;-57.01
17375;AZUL AERO;Argentina;87641;147;-36.5;-59.53
10123;SAN PEDRO INTA;Argentina;87494;28;-33.41;-59.41
10115;VILLAGUAY AERO;Argentina;87385;43;-31.51;-59.05
10190;;Argentina;;;-36.0;-57.0
10080;CURUZU CUATIA AERO;Argentina;87286;73;-29.47;-57.59
10046;ZAVALLA;Argentina;0;50;-33.01;-60.53
10086;;Argentina;;;-30.0;-68.0
10483;;Argentina;;;-26.0;-58.0
10547;SANTA TERESITA AERO;Argentina;87658;4;-36.55;-56.68
10134;;Argentina;;;-33.0;-58.0
10178;;Argentina;;;-35.0;-60.0
10017;TUCUMAN AERO II;Argentina;87121;450;-37.14;-57.01
10227;;Argentina;;;-38.0;-68.0
10177;PUNTA INDIO AERO;Argentina;87596;22;-35.37;-57.28
17657;LUCAS GONZALEZ;Argentina;0;72;-32.22;-59.31
10139;;Argentina;;;-33.0;-66.0
10008;BENITO JUAREZ AERO;Argentina;87649;207;-37.43;-59.47
10100;;Argentina;;;-31.0;-64.0
10444;;Argentina;;;-27.0;-65.0
10500;;Argentina;;;-24.0;-65.0
10204;;Argentina;;;-37.0;-61.0
10192;;Argentina;;;-36.0;-64.0
10495;;Argentina;;;-31.0;-68.0
10138;;Argentina;;;-33.0;-64.0
10148;;Argentina;;;-34.0;-63.0
10105;;Argentina;;;-31.0;-64.0
10209;BALCARCE INTA;Argentina;87691;130;-37.45;-58.18
10156;;Argentina;;;-34.0;-58.0
10353;;Argentina;;;-25.0;-54.0
10445;;Argentina;;;-31.0;-68.0
10229;RIO COLORADO;Argentina;87736;79;-39.01;-64.05
10113;;Argentina;;;-31.0;-60.0
10102;;Argentina;;;-31.0;-66.0
10543;;Argentina;;;-24.0;-65.0
10065;;Argentina;;;-28.0;-67.0
10210;;Argentina;;;-37.0;-57.0
10001;;Argentina;;;-22.0;-65.0
10163;CIPOLLETTI II;Argentina;87719;265;-38.57;-67.58
10553;;Argentina;;;-34.0;-58.0
10522;ITUZAINGO II;Argentina;87173;72;-27.58;-56.67
10472;OLIVEROS INTA;Argentina;0;26;-32.33;-60.51
17944;CUTRAL CO;Argentina;87711;650;-38.56;-69.15
10476;;Argentina;;;-30.0;-66.0
17942;San Jose Feliciano;Argentina;0;66;-30.22;-58.14
10454;;Argentina;;;-32.0;-68.0
11201;;Argentina;;;-38.0;-61.0
163005;Chapeton;Argentina;0;11;-31.65;-60.28
163325;SAN JUSTO;Argentina;0;54;-30.78;-60.59
163328;COLONIA MASCIAS;Argentina;0;21;-30.8;-60.01
163876;PUEBLO LIBERTADOR;Argentina;0;32;-30.22;-59.39
11015;Pehuajo;Argentina;87544;86;-35.8;-61.9
11041;;Argentina;;;-39.38;-62.62
11017;Tres Arroyos;Argentina;87688;108;-38.3;-60.28
11007;Monte Caseros;Argentina;87393;54;-30.27;-57.65
11020;Pigüe;Argentina;87679;304;-37.6;-62.4
11042;;Argentina;;;-33.68;-59.68
11026;Lincoln;Argentina;;87 (**);-34.55;-61.14
